	activity	bonus_credit_eligibility	country	currency_exchange_loss_amount	delinquent	disbursal_amount	funded_amount	id	lender_count	loan_amount	loss_liability	paid_amount	repayment_term	sector	status	avg_invitee_count	avg_loan_count	country_count	fund_yr
0	Food Production/Sales	False	Kenya	N/A	False	150.0	150	223	2	150	partner	150.0	12.0	Food	paid	N/A	N/A	N/A	2005.0
1	Cattle	False	Kenya	N/A	False	600.0	600	285	6	600	partner	600.0	12.0	Agriculture	paid	N/A	N/A	N/A	2005.0
2	Milk Sales	False	Kenya	N/A	False	600.0	0	341	2	600	partner	N/A	15.0	Food	refunded	N/A	N/A	N/A	2006.0
3	Grocery Store	False	Honduras	N/A	False	1150.0	1150	362	10	1150	partner	1150.0	12.0	Food	paid	N/A	N/A	N/A	2006.0
4	Farming	False	Kenya	N/A	False	225.0	225	489	4	225	partner	225.0	12.0	Agriculture	paid	N/A	N/A	N/A	2006.0
5	General Store	False	Kenya	N/A	False	300.0	300	754	2	300	partner	300.0	13.0	Retail	paid	N/A	N/A	N/A	2006.0
6	General Store	False	Kenya	N/A	False	1000.0	1000	811	15	1000	partner	1000.0	13.0	Retail	paid	N/A	N/A	N/A	2006.0
7	Crafts	False	Kenya	N/A	False	450.0	450	887	13	450	partner	450.0	13.0	Arts	paid	N/A	N/A	N/A	2006.0
8	Farming	False	Kenya	N/A	False	150.0	150	892	2	150	partner	150.0	13.0	Agriculture	paid	N/A	N/A	N/A	2006.0
9	Construction	False	Uganda	N/A	False	850.0	0	909	15	850	lender	N/A	12.0	Construction	refunded	N/A	N/A	N/A	2006.0
10	General Store	False	Uganda	N/A	False	500.0	0	981	6	500	lender	N/A	12.0	Retail	refunded	N/A	N/A	N/A	2006.0
11	Services	False	Honduras	N/A	False	150.0	150	1040	3	150	partner	150.0	9.0	Services	paid	N/A	N/A	N/A	2006.0
12	Clothing Sales	False	Honduras	N/A	False	300.0	300	1045	4	300	partner	300.0	14.0	Clothing	paid	N/A	N/A	N/A	2006.0
13	Food Production/Sales	False	Honduras	N/A	False	200.0	200	1164	4	200	partner	200.0	6.0	Food	paid	N/A	N/A	N/A	2006.0
14	Clothing Sales	False	Honduras	N/A	False	500.0	500	1165	5	500	partner	500.0	14.0	Clothing	paid	N/A	N/A	N/A	2006.0
15	General Store	False	Mexico	N/A	False	750.0	750	1167	20	750	partner	750.0	8.0	Retail	paid	N/A	N/A	N/A	2006.0
16	Food Production/Sales	False	Honduras	N/A	False	200.0	200	1170	2	200	partner	200.0	8.0	Food	paid	N/A	N/A	N/A	2006.0
17	Used Clothing	False	Honduras	N/A	False	500.0	500	1205	3	500	partner	500.0	7.0	Clothing	paid	N/A	N/A	N/A	2006.0
18	Food Market	False	Honduras	N/A	False	200.0	200	1287	1	200	partner	200.0	6.0	Food	paid	N/A	N/A	N/A	2006.0
19	Clothing Sales	False	Togo	N/A	False	800.0	800	1467	32	800	partner	800.0	14.0	Clothing	paid	N/A	N/A	N/A	2006.0
20	Taxi	False	Uganda	N/A	False	1200.0	0	1490	47	1200	lender	N/A	11.0	Transportation	refunded	N/A	N/A	N/A	2006.0
21	Food Production/Sales	False	Uganda	N/A	False	850.0	0	1542	31	850	lender	N/A	11.0	Food	refunded	N/A	N/A	N/A	2006.0
22	Beauty Salon	False	Honduras	N/A	False	100.0	100	1552	3	100	partner	100.0	7.0	Services	paid	N/A	N/A	N/A	2006.0
23	Plastics Sales	False	Honduras	N/A	False	400.0	400	1555	16	400	partner	400.0	7.0	Retail	paid	N/A	N/A	N/A	2006.0
24	Food Production/Sales	False	Bulgaria	N/A	False	1200.0	1200	1623	48	1200	partner	1200.0	16.0	Food	paid	N/A	N/A	N/A	2006.0
25	Food Market	False	Ecuador	N/A	False	375.0	375	1748	13	375	partner	375.0	8.0	Food	paid	N/A	N/A	N/A	2006.0
26	Food Production/Sales	False	Bulgaria	N/A	False	1000.0	1000	1837	26	1000	partner	1000.0	15.0	Food	paid	N/A	N/A	N/A	2006.0
27	Pharmacy	False	Nigeria	N/A	False	500.0	500	1873	11	500	partner	500.0	11.0	Health	paid	N/A	N/A	N/A	2006.0
28	Farming	False	Nigeria	N/A	False	500.0	500	1888	18	500	partner	500.0	11.0	Agriculture	paid	N/A	N/A	N/A	2006.0
29	Home Products Sales	False	Kenya	N/A	True	75.0	75	1926	1	75	lender	N/A	13.0	Retail	defaulted	N/A	N/A	N/A	2006.0
30	Printing	False	Kenya	N/A	True	800.0	800	1963	10	800	lender	N/A	19.0	Services	defaulted	N/A	N/A	N/A	2006.0
31	Shoe Sales	False	Togo	N/A	False	850.0	850	2014	24	850	partner	850.0	14.0	Retail	paid	N/A	N/A	N/A	2006.0
